23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/Menubar' windows added. (0AD6C620)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/PopupMenu' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (0AD6BB28)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (0AD6C0D8)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (0AD6C7C0)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/MultiLineEditbox' windows added. (0AD6C758)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (0AD6BD30)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (0AD6BFA0)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (0AD6C278)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (0AD6BD98)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (0AD68E58)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (160BA960)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (160BAA98)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (160BAA30)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/Titlebar' windows added. (160BA828)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/Tooltip' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/Tooltip' windows added. (160BA8F8)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/ItemListbox' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/ItemListbox' windows added. (160BA9C8)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (160BA620)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (160BA210)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/ItemTable' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/ItemTable' windows added. (160BA348)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/ItemCell' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/ItemCell' windows added. (160BA1A8)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/ItemCellGeneral' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/ItemCellGeneral' windows added. (160B9B90)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/RichEditbox' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/RichEditbox' windows added. (160B9E68)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/GroupButton' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/GroupButton' windows added. (160BA008)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/MessageTip' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/MessageTip' windows added. (160BA2E0)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/SkillBox' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/SkillBox' windows added. (160BA480)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/ProgressBarTwoValue' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/ProgressBarTwoValue' windows added. (160B9F38)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/SpecialTree' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/SpecialTree' windows added. (160B9CC8)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/CompnentTip' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/CompnentTip' windows added. (160BA6F0)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/GroupBtnTree' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/GroupBtnTree' windows added. (160B9E00)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/Panelbox' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/Panelbox' windows added. (160B9FA0)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/IrregularFigure' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/IrregularFigure' windows added. (160B9ED0)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/AnimationButton' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/AnimationButton' windows added. (160B9C60)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/IrregularButton' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/IrregularButton' windows added. (160BA3B0)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/LinkText' windows.
