22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (16D8ED70)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (16D8F250)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (16D8F048)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (16D8F800)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (16D8F5F8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (16D8F6C8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (16D8F0B0)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (16D8EF10)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Titlebar' windows added. (16D8EDD8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Tooltip' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Tooltip' windows added. (16D8F320)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ItemListbox' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ItemListbox' windows added. (16D8F660)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (16D8F118)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (16D8F730)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ItemTable' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ItemTable' windows added. (16D8F3F0)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ItemCell' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ItemCell' windows added. (16D8EE40)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ItemCellGeneral' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ItemCellGeneral' windows added. (16D8F2B8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/RichEditbox' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/RichEditbox' windows added. (16D8F1E8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/GroupButton' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/GroupButton' windows added. (16D8EC38)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/MessageTip' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/MessageTip' windows added. (16D8F528)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/SkillBox' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/SkillBox' windows added. (16D8F388)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ProgressBarTwoValue' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ProgressBarTwoValue' windows added. (16D8F180)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/SpecialTree' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/SpecialTree' windows added. (16D8F458)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/CompnentTip' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/CompnentTip' windows added. (16D8FD48)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/GroupBtnTree' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/GroupBtnTree' windows added. (16D8FC10)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Panelbox' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Panelbox' windows added. (16D8FAD8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/IrregularFigure' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/IrregularFigure' windows added. (16D8FB40)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/AnimationButton' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/AnimationButton' windows added. (16D8FC78)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/IrregularButton' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/IrregularButton' windows added. (16D8FA08)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/LinkText' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/LinkText' windows added. (16D8FBA8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/AnimateText' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/AnimateText' windows added. (16D8FCE0)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Switch' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Switch' windows added. (16D8FE18)
22/07/2026 20:23:54 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
22/07/2026 20:23:54 (Std) 	CEGUI::System singleton created. (03C3C608)
22/07/2026 20:23:54 (Std) 	---- CEGUI System initialisation completed ----
22/07/2026 20:23:54 (Std) 	
22/07/2026 20:23:54 (Info) 	CEImagesetEditor: initialiseCEGUI begin
22/07/2026 20:23:54 (Info) 	CEImagesetEditor: OpenGL renderer created
22/07/2026 20:23:54 (Info) 	CEImagesetEditor: CEGUI System created
